# ----------------------------------------
# All Web Site Data
# Pages
# 20180627-20180627
# ----------------------------------------

Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2017/10/20/lodash_throttle/,20180627,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2017/12/04/lodash_once/,20180627,4,4,00:10:23,4,75.00%,75.00%,$0.00
/2017/12/05/nodejs-pug-getting-started/,20180627,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2018/01/11/nodejs-jsdom/,20180627,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2018/01/28/heroku-cors/,20180627,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2018/02/05/nodejs-child-process-kill/,20180627,4,4,00:00:00,4,100.00%,100.00%,$0.00
/about/,20180627,4,2,00:00:38,0,0.00%,0.00%,$0.00
/2017/10/01/hapi-static-file-server/,20180627,3,3,00:00:00,3,100.00%,100.00%,$0.00
/2017/10/02/lodash_clone/,20180627,3,3,00:00:00,2,100.00%,100.00%,$0.00
/2017/10/13/phaser-gameobj-input-keyboard/,20180627,3,3,00:00:00,3,100.00%,100.00%,$0.00
/2017/10/14/phaser-text/,20180627,3,3,00:00:00,3,100.00%,100.00%,$0.00
/2017/11/26/nodejs-crawler/,20180627,3,3,00:00:00,3,100.00%,100.00%,$0.00
/2018/01/18/nodejs-cluster/,20180627,3,3,00:00:00,3,100.00%,100.00%,$0.00
/2018/02/12/nodejs-csv-to-json/,20180627,3,3,00:00:00,2,100.00%,100.00%,$0.00
/2018/05/18/lodash_filter/,20180627,3,3,00:00:04,3,66.67%,66.67%,$0.00
/2018/06/04/lodash_countby/,20180627,3,3,00:00:00,3,100.00%,100.00%,$0.00
/2017/05/19/hexo-tags-http-requests/,20180627,2,2,00:03:39,2,0.00%,0.00%,$0.00
/2017/09/30/hapi-post-requests/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2017/10/04/phaser-getting-started/,20180627,2,2,00:00:00,1,100.00%,100.00%,$0.00
/2017/10/15/phaser-scale-fullscreen/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2017/10/24/phaser-inputhandler-draggable/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2017/10/31/phaser-scale-compatibility-scrollto/,20180627,2,2,00:01:02,2,50.00%,50.00%,$0.00
/2017/11/14/nodejs-object-merge/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2017/12/01/canvas-chartjs/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2017/12/04/js-drag-elements-with-dragula/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2017/12/18/angular-$timeout/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2018/01/05/hexo-helpers/,20180627,2,2,00:05:00,0,0.00%,50.00%,$0.00
/2018/01/08/nodejs-fs-extra/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2018/02/01/lodash_zip/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2018/02/22/nodejs-sentiment/,20180627,2,2,00:00:02,1,100.00%,50.00%,$0.00
/2018/04/17/threejs-canvas-texture/,20180627,2,1,00:04:07,1,0.00%,50.00%,$0.00
/2018/05/12/threejs-points-material/,20180627,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2018/06/14/hexo-disqus/index.html,20180627,2,2,00:00:03,2,50.00%,50.00%,$0.00
/archives/,20180627,2,2,00:00:24,0,0.00%,50.00%,$0.00
/page/2/,20180627,2,2,00:00:09,0,0.00%,0.00%,$0.00
/2017/02/09/api-fixer/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/02/13/hexo-readfile/,20180627,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2017/05/02/hexo-sitemap-automation/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/08/26/nodejs-traverse/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/10/03/jquery-prototype-add/,20180627,1,1,00:00:03,0,0.00%,0.00%,$0.00
/2017/10/10/phaser-state-objects-init-method/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/10/19/phaser-input-pointers/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/10/22/phaser-graphics-lineto/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/10/26/phaser-components-events/,20180627,1,1,00:09:26,1,0.00%,0.00%,$0.00
/2017/11/17/lodash_merge/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/11/28/nodejs-cheerio/,20180627,1,1,00:04:06,1,0.00%,0.00%,$0.00
/2017/12/03/lodash_debounce/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2017/12/21/angular-ngshow-directive/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/01/03/hexo-plugins/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/01/04/hexo-generators/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/02/03/nodejs-querystring/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/02/03/nodejs-querystring/index.html,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/02/07/nodejs-buffer/,20180627,1,1,00:00:03,0,0.00%,0.00%,$0.00
/2018/02/08/nodejs-filesystem/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/02/11/nodejs-process/,20180627,1,1,00:00:07,0,0.00%,0.00%,$0.00
/2018/03/13/js-request-animation-frame/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/03/22/nodejs-shelljs/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/04/15/threejs-vector3/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/04/30/threejs-materials/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/05/22/express-routers/,20180627,1,1,00:12:24,1,0.00%,0.00%,$0.00
/2018/06/08/express-microservices-getting-started/,20180627,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2018/06/12/express/,20180627,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2018/06/15/express-app-object/,20180627,1,1,00:00:41,0,0.00%,0.00%,$0.00
/2018/06/18/express-app-use/,20180627,1,1,00:00:19,0,0.00%,0.00%,$0.00
/2018/06/19/express-helmet-dns-prefetch-control/,20180627,1,1,00:00:29,0,0.00%,0.00%,$0.00
/2018/06/20/express-get/,20180627,1,1,00:04:57,0,0.00%,0.00%,$0.00
/archives/2018/02/,20180627,1,1,00:00:17,0,0.00%,0.00%,$0.00
/archives/2018/02/page/2/,20180627,1,1,00:00:07,0,0.00%,0.00%,$0.00
/archives/2018/02/page/3/,20180627,1,1,00:00:07,0,0.00%,0.00%,$0.00
/archives/2018/02/page/4/,20180627,1,1,00:05:39,0,0.00%,0.00%,$0.00
/archives/2018/04/,20180627,1,1,00:00:10,0,0.00%,0.00%,$0.00
/archives/2018/04/page/2/,20180627,1,1,00:00:05,0,0.00%,0.00%,$0.00
/archives/2018/04/page/3/,20180627,1,1,00:00:11,0,0.00%,0.00%,$0.00
/archives/2018/05/,20180627,1,1,00:00:16,0,0.00%,0.00%,$0.00
/archives/2018/05/page/2/,20180627,1,1,00:00:09,0,0.00%,0.00%,$0.00
/archives/2018/05/page/3/,20180627,1,1,00:00:08,0,0.00%,0.00%,$0.00
/archives/2018/05/page/4/,20180627,1,1,00:00:00,0,0.00%,100.00%,$0.00
/categories/angular/,20180627,1,1,00:00:03,0,0.00%,0.00%,$0.00
/categories/api/,20180627,1,1,00:00:01,0,0.00%,0.00%,$0.00
/categories/backbone/,20180627,1,1,00:00:02,0,0.00%,0.00%,$0.00
/categories/discovery/,20180627,1,1,00:00:03,0,0.00%,0.00%,$0.00
/categories/grunt/,20180627,1,1,00:00:01,0,0.00%,0.00%,$0.00
/categories/jquery/,20180627,1,1,00:00:03,0,0.00%,0.00%,$0.00
/tags/phaser/,20180627,1,1,00:00:00,0,0.00%,100.00%,$0.00
,,623,599,00:03:38,546,92.86%,87.64%,$0.00

Day Index,Pageviews
6/27/18,623
,623
